depa,year,MED,MEDTASA,ENF,EFNTASA,OBST,ODON,HOSPN,HOSPTASA,CENTRON,PUESTON,CAMAN,CAMATASA,CAMATASA2,CONSLTASA,EGRESTASA,EGRESTASA2,PARTOSSPORC,ATPRENPORC,ATPARTOPORC,DPT,OPV,BCG,ASO,ACMODPARADOLES,ACMODPARADULT,ACNATPARADOLES,ACNATPARADULT,ACTRAD,ACMOD,ACTOTAL,SEGUROPORC,SISAFILIACN,SISFILIAPORC,SISATENCN,GENEROAFP,COMSALUDN,ESCSALUDN,BUSQAYUDAVIOLEN,GESTFESO4
Ayacucho,2006,191,3.1,361,5.8,226,56,9,0.15,49,300,987,,,0.9,42.7,,73,,,99.9,99.5,100,88.5,0.940920282,15.28974932,0.464772367,1.53030499,,,,,487209,78.7,680308,42.3,34,32,,73.96558909
Ayacucho,2007,191,3.1,361,5.8,226,56,9,0.15,49,300,987,,,0.9,42.7,,73,,,65.6,65.1,68.8,66.3,,,,,34.9,36.1,72.2,,435422,70.3,793384,42.3,34,32,,74
Ayacucho,2008,305,4.6,466,7,225,56,9,0.13,51,305,513,,,0.5,35,,69.9,,,100,100,97.9,82.6,,,,,33.27073317,37.50713186,72.12270725,,454247,68.1,1139816,,16,32,,1.906733854
Ayacucho,2009,368,5.7,670,10.4,384,109,10,0.16,66,303,539,,,1.2,44.4,,92.7,,82.6,59.1,58.6,77.3,56.1,,,,,27.7,41.2,69,,418510,65.1,1082737,,44,452,,87.3
Ayacucho,2010,375,5.7,879,13.4,497,128,10,0.15,52,371,1095,,,1.4,44.2,,85.1,,89.8,75.3,76.6,92.1,88.2,,,,,42.16901918,27.5634398,,,486223,73.8,1544397,,,,,
Ayacucho,2011,375,5.6,879,13.2,497,128,10,0.15,52,371,1095,,,1.4,44.2,,86,,90.2,75.8,88.5,98.1,94,44.8,27.9,,,,,,,532367,79.9,1793041,,,,,
Ayacucho,2012,443,6.6,940,14,541,152,11,0.16,68,324,1109,,,2.1,44.3,,93,,89.8,69.7,74.1,92.7,90.6,45.7,26.7,,,,,,,464669,69,2229277,,,,,
Cajamarca,2001,443,3.1,503,3.4,,0.3,11,0.08,89,454,1121,0.8,8.3,2.1,13.8,137.7,22.2,67.6,27.1,93.8,82.2,86.6,89.8,,,,,,41.2,62.9,,,,,,,,,
Cajamarca,2002,465,3.1,510,3.4,,0.3,11,0.08,89,454,1121,0.83,8.3,2.1,13.8,137.7,22.2,67.6,27.1,88.5,86.9,81.2,108,,,,,,41.2,62.9,,,,,,,,,
Cajamarca,2003,321,2.1,574,3.8,297,46,9,0.06,108,489,1181,,,0.4,8.2,,22.2,67.6,27.1,90.1,89.1,83,98.5,,,,,,41.2,62.9,36.4,,,,40.9,,,23.3,
Cajamarca,2004,320,2.1,574,3.7,297,46,10,0.07,112,503,1220,,,0.5,11.4,,22.2,67.6,27.1,83.2,89.9,88.4,85.6,,,,,,41.2,62.9,32.3,747599,48.8,1019662,40.9,,,23.3,
Cajamarca,2005,281,1.8,498,3.2,293,52,9,0.06,105,526,1199,,,0.5,14.9,,22.2,67.6,27.1,85.5,86,73.7,88.9,,,,,,41.2,62.9,32.32278164,747599,48.2,1019662,40.9,,,,
